pool_number,date,site,water_date,substrate,bare_rock,sand,turf,cyanobacteria,turf_cyano,biofilm,CCA,brown_encrusting,red_encrusting,sargassum_spp,padina_sanctae_crucis,turbinaria_ornata,dictyota_sandvicensis,loose_turbinaria,acanthophora_spicifera,gelidiella_acerosa,coelothrix_irregularis,microdictyon_setchellianum,halimeda_discoidea,cladophora_sp,dictyosphaeria_versluysii,ulva_lactuca,leptolyngbya_crosbyana,loose_rock,loose_rock_CCA,loose_rock_turf_cyano,loose_rock_red_encrusting,loose_rock_red_sponge,rubble,rubble_CCA,rubble_red_encrusting,sponge,red_sponge,total_points,notes,observers
16,2026/03/01,Sandy Beach,2026/02/22,basalt,0,0,0,0,40,20,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67,,"Mica, Mj"
17,2026/03/01,Sandy Beach,2026/02/22,basalt,0,1,0,131,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,,"Mica, Mj"
18,2026/03/01,Sandy Beach,2026/02/22,basalt,0,1,0,0,16,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,,"Mica, Mj"
19,2026/03/01,Sandy Beach,2026/02/22,basalt,0,2,0,0,0,134,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,,"Mica, Mj"
31,2026/03/01,Sandy Beach,2026/02/22,basalt,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,133,,"Mica, Mj"
21,2026/03/01,Sandy Beach,2026/02/22,basalt,0,3,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,,"Mica, Mj"
22,2026/03/01,Sandy Beach,2026/02/22,basalt,0,0,0,2,0,170,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,,"Mica, Mj"
32,2026/03/01,Sandy Beach,2026/02/22,basalt,0,4,0,20,13,101,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,1,0,0,179,,"Mica, Mj"
25,2026/03/01,Sandy Beach,2026/02/22,basalt,0,8,0,0,4,106,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,133,,"Mica, Mj"
23,2026/03/01,Sandy Beach,2026/02/22,basalt,0,4,0,1,23,165,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,2,0,0,234,,"Mica, Mj"
